
´«ÀÏ¼ö
ÁöÁ¡/Áö¿ª¸í : ¼­¿ï
¸ñÃø °üÃø ¼öÇà ±â°£ : 1907-10-01 ~ 2100-12-31

Æò±Õ ´«ÀÏ¼ö
¿¬µµ,1¿ù,2¿ù,3¿ù,4¿ù,5¿ù,6¿ù,7¿ù,8¿ù,9¿ù,10¿ù,11¿ù,12¿ù,¿¬ÇÕ°è,¼øÀ§
1907,¡ª,¡ª,¡ª,¡ª,¡ª,¡ª,¡ª,¡ª,¡ª,0.0,5.0,10.0,15.0,114
1908,11.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,26.0,77
1909,8.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,31.0,42
1910,12.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,33.0,25
1911,14.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,37.0,13
1912,8.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,27.0,69
1913,10.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,33.0,25
1914,10.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,31.0,42
1915,11.0,11.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,42.0,3
1916,9.0,7.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,30.0,52
1917,8.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,39.0,7
1918,10.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,32.0,32
1919,10.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,28.0,63
1920,13.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,32.0,32
1921,9.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,39.0,7
